"filename", "language", "JavaScript", "JSON", "Ignore", "YAML", "Markdown", "JSON with Comments", "TypeScript JSX", "TypeScript", "Less", "HTML", "CSV", "XML", "Shell Script", "CSS", "Docker", "comment", "blank", "total"
"c:\Users\nico\Desktop\G6VP\G6VP\.changeset\config.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\nico\Desktop\G6VP\G6VP\.dockerignore", "Ignore", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\nico\Desktop\G6VP\G6VP\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 47
"c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\auto-release.yml", "YAML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 55
"c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\build-g6vp-images-linux.yml", "YAML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 53
"c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\lint.yml", "YAML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 45
"c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\release-notify.yml", "YAML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 26
"c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\site-build-notify.yml", "YAML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\nico\Desktop\G6VP\G6VP\.prettierignore", "Ignore", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\nico\Desktop\G6VP\G6VP\.prettierrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\nico\Desktop\G6VP\G6VP\README.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 86
"c:\Users\nico\Desktop\G6VP\G6VP\SECURITY.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\nico\Desktop\G6VP\G6VP\diagram\index.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\nico\Desktop\G6VP\G6VP\docs\CONTRIBUTING.en-US.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\nico\Desktop\G6VP\G6VP\docs\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 93
"c:\Users\nico\Desktop\G6VP\G6VP\docs\README.en-US.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 86
"c:\Users\nico\Desktop\G6VP\G6VP\docs\changelog.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\nico\Desktop\G6VP\G6VP\docs\trouble-shooting.en-US.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nico\Desktop\G6VP\G6VP\docs\trouble-shooting.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"c:\Users\nico\Desktop\G6VP\G6VP\package.json", "JSON", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\.fatherrc.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
