Date : 2023-06-21 21:43:09
Directory : c:\Users\nico\Desktop\G6VP\G6VP
Total : 1436 files,  306930 codes, 6444 comments, 14143 blanks, all 327517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| CSS                |         11 |    106,460 |        264 |         57 |    106,781 |
| TypeScript         |        476 |     51,134 |      2,916 |      2,698 |     56,748 |
| JSON               |         47 |     50,472 |          9 |         53 |     50,534 |
| YAML               |          7 |     46,527 |         12 |      5,618 |     52,157 |
| TypeScript JSX     |        562 |     43,643 |      2,948 |      4,305 |     50,896 |
| Less               |        121 |      4,160 |        206 |        378 |      4,744 |
| Markdown           |        118 |      2,110 |          2 |        851 |      2,963 |
| JavaScript         |         54 |      1,365 |         70 |        126 |      1,561 |
| HTML               |          6 |        414 |          5 |         24 |        443 |
| JSON with Comments |         19 |        325 |          0 |         19 |        344 |
| XML                |          6 |        246 |          0 |          0 |        246 |
| CSV                |          4 |         35 |          0 |          2 |         37 |
| Ignore             |          3 |         27 |          1 |          4 |         32 |
| Docker             |          1 |          8 |          5 |          5 |         18 |
| Shell Script       |          1 |          4 |          6 |          3 |         13 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |      1,436 |    306,930 |      6,444 |     14,143 |    327,517 |
| . (Files)                                                                                                                        |         10 |     46,664 |         16 |      5,639 |     52,319 |
| .changeset                                                                                                                       |          1 |         11 |          0 |          1 |         12 |
| .github                                                                                                                          |          6 |        188 |         13 |         49 |        250 |
| .github (Files)                                                                                                                  |          1 |         28 |          2 |         17 |         47 |
| .github\workflows                                                                                                                |          5 |        160 |         11 |         32 |        203 |
| diagram                                                                                                                          |          1 |          2 |          0 |          2 |          4 |
| docs                                                                                                                             |          6 |        126 |          0 |         75 |        201 |
| packages                                                                                                                         |      1,407 |    259,875 |      6,415 |      8,362 |    274,652 |
| packages\gi-assets-advance                                                                                                       |        219 |     16,484 |      1,393 |      1,546 |     19,423 |
| packages\gi-assets-advance (Files)                                                                                               |          5 |        141 |          0 |         33 |        174 |
| packages\gi-assets-advance\src                                                                                                   |        214 |     16,343 |      1,393 |      1,513 |     19,249 |
| packages\gi-assets-advance\src (Files)                                                                                           |          1 |          3 |          0 |          2 |          5 |
| packages\gi-assets-advance\src\components                                                                                        |        172 |     13,528 |      1,002 |      1,110 |     15,640 |
| packages\gi-assets-advance\src\components (Files)                                                                                |          2 |         57 |         17 |          2 |         76 |
| packages\gi-assets-advance\src\components\AddSheetbar                                                                            |          4 |         94 |          1 |         18 |        113 |
| packages\gi-assets-advance\src\components\AjustLayout                                                                            |          5 |        353 |          8 |         39 |        400 |
| packages\gi-assets-advance\src\components\AnalysisHistory                                                                        |         14 |      2,297 |        436 |        147 |      2,880 |
| packages\gi-assets-advance\src\components\Assistant                                                                              |         18 |        765 |         37 |        106 |        908 |
| packages\gi-assets-advance\src\components\Assistant (Files)                                                                      |          7 |        406 |         28 |         45 |        479 |
| packages\gi-assets-advance\src\components\Assistant\Dialog                                                                       |          5 |        194 |          2 |         28 |        224 |
| packages\gi-assets-advance\src\components\Assistant\Header                                                                       |          2 |         81 |          0 |         11 |         92 |
| packages\gi-assets-advance\src\components\Assistant\hooks                                                                        |          1 |          8 |          0 |          4 |         12 |
| packages\gi-assets-advance\src\components\Assistant\utils                                                                        |          3 |         76 |          7 |         18 |        101 |
| packages\gi-assets-advance\src\components\CypherQuery                                                                            |         17 |      4,102 |        171 |        126 |      4,399 |
| packages\gi-assets-advance\src\components\CypherQuery (Files)                                                                    |          6 |        292 |         12 |         38 |        342 |
| packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror                                                           |          8 |        473 |        159 |         80 |        712 |
| packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror (Files)                                                   |          4 |        263 |         47 |         33 |        343 |
| packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\css                                                       |          4 |        210 |        112 |         47 |        369 |
| packages\gi-assets-advance\src\components\CypherQuery\setting                                                                    |          3 |      3,337 |          0 |          8 |      3,345 |
| packages\gi-assets-advance\src\components\EdgeBundling                                                                           |          3 |         71 |          4 |         11 |         86 |
| packages\gi-assets-advance\src\components\GraphAnnotation                                                                        |          4 |        301 |          7 |         24 |        332 |
| packages\gi-assets-advance\src\components\GremlinPathQuery                                                                       |          4 |        449 |         21 |         35 |        505 |
| packages\gi-assets-advance\src\components\GremlinQuery                                                                           |          5 |        232 |         22 |         31 |        285 |
| packages\gi-assets-advance\src\components\JSONMode                                                                               |          5 |        105 |          1 |         17 |        123 |
| packages\gi-assets-advance\src\components\ModeSwitch                                                                             |          4 |        192 |          7 |         25 |        224 |
| packages\gi-assets-advance\src\components\PublishTemplate                                                                        |          2 |        389 |          5 |         32 |        426 |
| packages\gi-assets-advance\src\components\Redo                                                                                   |          5 |         58 |          1 |         11 |         70 |
| packages\gi-assets-advance\src\components\SearchBar                                                                              |          4 |        269 |         29 |         45 |        343 |
| packages\gi-assets-advance\src\components\Sheetbar                                                                               |          5 |        301 |         11 |         27 |        339 |
| packages\gi-assets-advance\src\components\SnapshotGallery                                                                        |          7 |        266 |         11 |         42 |        319 |
| packages\gi-assets-advance\src\components\StructAnalysis                                                                         |          7 |        208 |          5 |         38 |        251 |
| packages\gi-assets-advance\src\components\StyleSetting                                                                           |          7 |        262 |          7 |         34 |        303 |
| packages\gi-assets-advance\src\components\SubGraphLayout                                                                         |          9 |        425 |         41 |         48 |        514 |
| packages\gi-assets-advance\src\components\TableMode                                                                              |         16 |        935 |         94 |        117 |      1,146 |
| packages\gi-assets-advance\src\components\TableMode (Files)                                                                      |          5 |        423 |         39 |         45 |        507 |
| packages\gi-assets-advance\src\components\TableMode\hooks                                                                        |          8 |        358 |         47 |         58 |        463 |
| packages\gi-assets-advance\src\components\TableMode\utils                                                                        |          3 |        154 |          8 |         14 |        176 |
| packages\gi-assets-advance\src\components\TemplateQuery                                                                          |          5 |        470 |         15 |         49 |        534 |
| packages\gi-assets-advance\src\components\ThemeSetting                                                                           |          9 |        494 |         32 |         46 |        572 |
| packages\gi-assets-advance\src\components\Undo                                                                                   |          5 |         58 |          1 |         11 |         70 |
| packages\gi-assets-advance\src\components\hooks                                                                                  |          1 |        196 |          2 |          9 |        207 |
| packages\gi-assets-advance\src\components\types                                                                                  |          1 |          3 |          0 |          1 |          4 |
| packages\gi-assets-advance\src\components\utils                                                                                  |          4 |        176 |         16 |         19 |        211 |
| packages\gi-assets-advance\src\elements                                                                                          |         33 |      2,382 |        378 |        368 |      3,128 |
| packages\gi-assets-advance\src\elements (Files)                                                                                  |          1 |          1 |          5 |          3 |          9 |
| packages\gi-assets-advance\src\elements\CircleBar                                                                                |          4 |        387 |         25 |         21 |        433 |
| packages\gi-assets-advance\src\elements\ClusterNode                                                                              |          5 |        367 |         22 |         40 |        429 |
| packages\gi-assets-advance\src\elements\ReasonNode                                                                               |         23 |      1,627 |        326 |        304 |      2,257 |
| packages\gi-assets-advance\src\elements\ReasonNode (Files)                                                                       |          5 |        265 |          7 |         34 |        306 |
| packages\gi-assets-advance\src\elements\ReasonNode\reason_analysis_node                                                          |         18 |      1,362 |        319 |        270 |      1,951 |
| packages\gi-assets-advance\src\services                                                                                          |          8 |        430 |         13 |         33 |        476 |
| packages\gi-assets-algorithm                                                                                                     |         88 |      7,958 |        419 |        692 |      9,069 |
| packages\gi-assets-algorithm (Files)                                                                                             |          6 |        211 |          4 |         50 |        265 |
| packages\gi-assets-algorithm\mockData                                                                                            |          1 |        366 |          0 |          4 |        370 |
| packages\gi-assets-algorithm\src                                                                                                 |         81 |      7,381 |        415 |        638 |      8,434 |
| packages\gi-assets-algorithm\src (Files)                                                                                         |          1 |         15 |          0 |          3 |         18 |
| packages\gi-assets-algorithm\src\ClusterTable                                                                                    |          5 |        194 |          3 |         22 |        219 |
| packages\gi-assets-algorithm\src\ClusterTable (Files)                                                                            |          2 |        126 |          2 |         11 |        139 |
| packages\gi-assets-algorithm\src\ClusterTable\locale                                                                             |          3 |         68 |          1 |         11 |         80 |
| packages\gi-assets-algorithm\src\CommunityDetection                                                                              |          9 |        618 |         25 |         61 |        704 |
| packages\gi-assets-algorithm\src\CommunityDetection (Files)                                                                      |          6 |        542 |         24 |         50 |        616 |
| packages\gi-assets-algorithm\src\CommunityDetection\locale                                                                       |          3 |         76 |          1 |         11 |         88 |
| packages\gi-assets-algorithm\src\InfoDetection                                                                                   |          7 |        231 |         43 |         36 |        310 |
| packages\gi-assets-algorithm\src\NodeImportance                                                                                  |         10 |      1,486 |         70 |         95 |      1,651 |
| packages\gi-assets-algorithm\src\NodesClustering                                                                                 |          9 |        437 |         15 |         55 |        507 |
| packages\gi-assets-algorithm\src\NodesClustering (Files)                                                                         |          6 |        372 |         14 |         44 |        430 |
| packages\gi-assets-algorithm\src\NodesClustering\locale                                                                          |          3 |         65 |          1 |         11 |         77 |
| packages\gi-assets-algorithm\src\NodesSimilarity                                                                                 |         10 |        574 |         20 |         63 |        657 |
| packages\gi-assets-algorithm\src\NodesSimilarity (Files)                                                                         |          7 |        502 |         19 |         52 |        573 |
